"","couche","min.14C","max.14C","site","level","pays","lat","long","alt","nb_mamm","First_predite","proba_value","Second_predite","proba_value.1","MAT.moy","MAT.min","MAT.max","Tp.moy","Tp.min","Tp.max","Tmax.moy","Tmax.min","Tmax.max","Tmin.moy","Tmin.min","Tmin.max","Mta.moy","Mta.min","Mta.max","It.moy","It.min","It.max","Itc.moy","Itc.min","Itc.max","P.moy","P.min","P.max","D.moy","D.min","D.max","MAT_se.fit","Tp_se.fit","Tmax_se.fit","Tmin_se.fit","Mta_se.fit","It_se.fit","Itc_se.fit","P_se.fit","D_se.fit","MAT_df","Tp_df","Tmax_df","Tmin_df","Mta_df","It_df","Itc_df","P_df","D_df","MAT_residual.scale","Tp_residual.scale","Tmax_residual.scale","Tmin_residual.scale","Mta_residual.scale","It_residual.scale","Itc_residual.scale","P_residual.scale","D_residual.scale"
"34","Petersfels_P1 AH3",-15467,-13753,"Petersfels","P1 AH3","Germany",47.85,8.77,600,4,8,0.630168417,9,0.369593135,-0.683974697,-7.49131,6.123360608,572.8203483,142.5858481,1003.054848,15.3767423,10.11278883,20.64069577,-15.53748786,-30.6471192,-0.427856518,30.91423016,13.98892058,47.83953974,-400.505947,-761.9568657,-39.05502827,-226.6249106,-407.5927813,-45.65703979,343.5372833,-321.7647867,1008.839353,-0.077220528,-3.282803143,3.128362086,1.444873499,91.31832059,1.117286945,3.207056055,3.592438183,76.71883789,38.41087135,141.2119848,0.680392718,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
"35","Pincevent_ section 36",-14437.5,-13583,"Pincevent"," section 36","France",48.387,2.907,50,4,8,0.630168417,9,0.369593135,-3.433974697,-10.24131,3.373360608,572.8203483,142.5858481,1003.054848,12.6267423,7.362788834,17.89069577,-18.28748786,-33.3971192,-3.177856518,30.91423016,13.98892058,47.83953974,-400.505947,-761.9568657,-39.05502827,-226.6249106,-407.5927813,-45.65703979,343.5372833,-321.7647867,1008.839353,-0.077220528,-3.282803143,3.128362086,1.444873499,91.31832059,1.117286945,3.207056055,3.592438183,76.71883789,38.41087135,141.2119848,0.680392718,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
"36","Pont D'Ambon_4",-16016.5,-13979.5,"Pont D'Ambon","4","France",45.54,0.24,80,8,6,0.998121744,4,0.00187256,4.581312409,-2.363237464,11.52586228,1046.9531,608.0464191,1485.859781,20.91184414,15.54178585,26.28190243,-11.16013786,-26.57433206,4.254056345,32.07198199,14.80551116,49.33845282,-183.4462389,-552.1828765,185.2903987,33.02810209,-151.5875144,217.6437186,358.4198,-320.2926767,1037.132277,1.501466846,-1.768730278,4.77166397,1.596276535,100.8872351,1.234363378,3.543111787,3.968876706,84.7579257,42.43580677,156.0090748,0.751688594,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
"37","Rasik_horizon 21",-15638.5,-14238,"Rasik","horizon 21","Russia",59,57.33,248,5,9,0.999911309,8,8.87e-05,-5.168614689,-11.72077832,1.383548944,437.5678107,23.46056912,851.6750523,12.96120574,7.894570567,18.02784091,-22.2885655,-36.83181517,-7.745315821,35.24977124,18.95890368,51.54063879,-546.8891723,-894.7911719,-198.9871727,-279.6334172,-453.8177416,-105.4490927,239.5839998,-400.7793482,879.9473479,1.27605092,-1.809371038,4.361472878,1.120639524,70.82621376,0.866564382,2.487382994,2.786284209,59.50289905,29.79135586,109.5235891,0.527710538,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
"38","Stellmoor_AbH",-15297,-11290.5,"Stellmoor","AbH","Germany",53.6453,10.2092,45,2,8,0.99999647,9,3.17e-06,-0.87624474,-8.700653764,6.948164285,1199.971732,705.456543,1694.486921,20.15477148,14.10433865,26.20520431,-20.47930532,-37.84644393,-3.112166711,40.6340768,21.1799822,60.0881714,-462.9825595,-878.4373158,-47.52780327,-47.34353537,-255.3495432,160.6624725,175.0328638,-589.6709867,939.7367143,3.106716777,-0.57780711,6.791240663,2.391428456,151.1421108,1.849235795,5.308039156,5.945890006,126.9783217,63.57432041,233.7217473,1.126126618,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
"39","TeufelsbrÅcke_3",-15879.5,-13988.5,"TeufelsbrÅcke","3","Germany",50.58,11.42,450,12,6,0.990438193,8,0.009521947,4.556574136,-2.34506329,11.45821156,923.8857827,487.6912374,1360.080328,18.97431937,13.63744427,24.31119447,-8.61283996,-23.93178526,6.706105329,27.58715934,10.42738319,44.74693548,-182.7265629,-549.1846667,183.7315409,-58.62867839,-242.1034998,124.846143,420.4293923,-254.0891173,1094.947902,0.75963937,-2.490350229,4.009628969,1.550197742,97.97498149,1.198731723,3.440834824,3.854309433,82.31126759,41.21083684,151.5056509,0.729990034,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
"40","Three Holes caves_DGB",-14882.5,-13574.5,"Three Holes caves","DGB","UK",50.48,-3.66,60,8,8,0.995135864,6,0.004858476,-2.09710553,-8.836723445,4.642512385,682.5355298,256.5808772,1108.490182,15.00359856,9.79200937,20.21518775,-18.06493212,-33.02425724,-3.105606997,33.06853068,16.31158916,49.82547221,-389.8337151,-747.6890252,-31.97840495,-158.9192933,-338.0869484,20.2483617,324.5110094,-334.1728291,983.194848,0.523579264,-2.650115148,3.697273675,1.365214975,86.28377423,1.055688868,3.030245177,3.394380482,72.48918776,36.29320962,133.4267093,0.64288142,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
"41","Trou Jadot_CRla",-15753,-14024,"Trou Jadot","CRla","Belgium",50.47,5.58,175,5,8,0.960932687,6,0.038987027,-0.822494348,-7.570521374,5.925532678,700.9237251,274.4376032,1127.409847,15.31621676,10.098125,20.53430852,-15.81957528,-30.79756536,-0.841585209,31.13579204,14.35794266,47.91364143,-346.0483756,-704.3501866,12.25343538,-158.3970394,-337.7882443,20.99416552,348.2927724,-311.2129148,1007.79846,0.500085488,-2.677568784,3.67773976,1.375313589,86.92202279,1.063497891,3.052660163,3.419489009,73.02539657,36.56167365,134.4136783,0.64763687,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
"42","Ustinovo_layer 13",-15584.5,-13716,"Ustinovo","layer 13","Russia",55.48,59.57,457,12,7,0.99999145,6,8.52e-06,3.617858264,-2.997860937,10.23357746,848.1148502,429.9907949,1266.238906,20.52246325,15.40668204,25.63824446,-13.01703319,-27.70135145,1.667285078,33.53949644,17.09060851,49.98838437,-298.5990907,-649.8757174,52.67753605,-65.0595057,-240.933407,110.8143955,278.2937251,-368.2811064,924.8685566,2.44741083,-0.667939524,5.562761183,1.208322967,76.36794785,0.934367941,2.682006063,3.004294538,64.15865045,32.122354,118.0931649,0.569000779,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
"43","Wilczyce_NA",-15599,-14097,"Wilczyce",NA,"Poland",50.746,21.658,200,8,6,0.999570758,4,0.000377141,3.287961247,-3.427425926,10.00334842,907.1321994,482.7089685,1331.55543,18.97316228,13.78031016,24.16601441,-11.75783809,-26.66338041,3.147704227,30.73100037,14.03430457,47.42769618,-228.5522511,-585.120975,128.0164728,-48.60786465,-227.1313637,129.9156344,347.1092846,-309.2064081,1003.424977,1.62264822,-1.539635905,4.784932345,1.33576157,84.42227182,1.032913238,2.964870096,3.321149478,70.92529236,35.51021308,130.5481363,0.629011775,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
"44","Zapovednaya- bore pit 1_layer 1",-15366,-13735.5,"Zapovednaya- bore pit 1","layer 1","Russia",54.784,57.584,664,11,6,0.980132383,8,0.019865536,4.205016367,-2.796988633,11.20702137,852.6434179,410.105481,1295.181355,21.43380469,16.01931769,26.84829169,-12.46477278,-28.00649498,3.076949409,33.89857747,16.48925401,51.30790094,-297.8314093,-669.6187573,73.95593867,-58.16618623,-244.3092039,127.9768314,329.7442389,-354.5835062,1014.071984,0.411840174,-2.88541264,3.709092988,1.656389137,104.6864478,1.28084705,3.676538335,4.118336715,87.94974074,44.03385492,161.8840665,0.779995693,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
"45","Zigeunerfels_F-H",-14939.5,-13806.5,"Zigeunerfels","F-H","Germany",48.07,9.16,600,8,6,0.999517907,4,0.000426958,8.610216781,1.56200039,15.65843317,1195.601629,750.143058,1641.0602,22.46878797,17.01856678,27.91900916,-4.026036495,-19.67032997,11.61825698,26.49482446,8.970604041,44.01904489,-76.09041449,-450.3314612,298.1506322,31.31605197,-156.0554606,218.6875646,431.445641,-257.3984872,1120.289769,1.562833419,-1.756180396,4.881847235,1.703542581,107.6666211,1.317309707,3.781200605,4.23557593,90.45345989,45.28739365,166.4925194,0.802200308,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
"46","Barova Cave_12",NA,NA,"Barova Cave","12","Moravie",49.3,16.7,346,9,8,0.991713802,6,0.008281768,0.959209181,-5.880156861,7.798575223,858.0117372,425.7528431,1290.270631,17.71929213,12.43057005,23.00801422,-14.50967997,-29.69040706,0.671047125,32.2289721,15.22402341,49.23392079,-335.1416055,-698.2932688,28.01005791,-114.8269678,-296.6463515,66.99241592,331.5021018,-336.9304318,999.9346353,1.048633023,-2.172032905,4.269298951,1.481323854,93.62204143,1.145473154,3.287961636,3.683065941,78.65425221,39.37987652,144.7743915,0.697557235,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
"47","Peyrazet_4",NA,NA,"Peyrazet","4","France",44.905,1.61353,140,9,6,0.999110654,4,0.000886016,6.82294164,-0.447431871,14.09331515,1164.964416,705.4651595,1624.463673,21.85478946,16.23277936,27.47679956,-7.294870996,-23.43226669,8.842524698,29.14966046,11.07308322,47.22623769,-83.12843707,-469.1654202,302.9085461,80.21605674,-113.0613352,273.4934487,432.7153923,-277.8408428,1143.271627,0.874033904,-2.549593974,4.297661782,1.917876754,121.2128843,1.483049319,4.256938935,4.768482281,101.8340193,50.98530584,187.4400653,0.903130535,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
