"","X.1","X","couche","min.14C","max.14C","site","level","pays","lat","long","alt","nb_mamm","First_predite","proba_value","Second_predite","proba_value.1","MAT.moy","MAT.min","MAT.max","Tp.moy","Tp.min","Tp.max","Tmax.moy","Tmax.min","Tmax.max","Tmin.moy","Tmin.min","Tmin.max","Mta.moy","Mta.min","Mta.max","It.moy","It.min","It.max","Itc.moy","Itc.min","Itc.max","P.moy","P.min","P.max","D.moy","D.min","D.max","MAT_se.fit","Tp_se.fit","Tmax_se.fit","Tmin_se.fit","Mta_se.fit","It_se.fit","Itc_se.fit","P_se.fit","D_se.fit","MAT_df","Tp_df","Tmax_df","Tmin_df","Mta_df","It_df","Itc_df","P_df","D_df","MAT_residual.scale","Tp_residual.scale","Tmax_residual.scale","Tmin_residual.scale","Mta_residual.scale","It_residual.scale","Itc_residual.scale","P_residual.scale","D_residual.scale"
"1",1,1,"Alicante","-",NA,NA,NA,NA,38.37,-0.5,65,9,4,0.999914766,6,8.52e-05,13.76419264,6.793796262,20.73458901,1769.408299,1328.868078,2209.94852,25.55637995,20.16633517,30.94642474,3.054617635,-12.41694573,18.526181,22.50176232,5.171028456,39.83249618,181.7749779,-188.3340383,551.8839942,272.3516429,87.04891674,457.6543691,732.7512362,51.51270047,1413.989772,3.762566404,0.480198131,7.044934677,1.623532462,102.6098533,1.25543975,3.603609323,4.036644046,86.20514102,43.16038502,158.6728814,0.764523444,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
"2",2,2,"Almería",NA,NA,NA,NA,NA,36.83,-2.47,50,10,4,0.999706278,6,0.000293722,12.76429466,5.822599967,19.70598936,1700.113417,1261.387188,2138.839646,24.69331491,19.32546446,30.06116536,2.008330063,-13.39952676,17.41618689,22.68498484,5.425612934,39.94435675,154.4531115,-214.1319241,523.0381471,244.8013242,60.26161042,429.341038,707.8951328,29.46170119,1386.328564,3.546411162,0.277558543,6.81526378,1.593243197,100.6955232,1.232017768,3.536378958,3.961334814,84.59686373,42.35516777,155.7126172,0.750260192,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
"3",3,3,"Cabo.Bagur",NA,NA,NA,NA,NA,41.953,3.2,200,15,4,0.66655742,6,0.333442555,10.97400028,4.023407936,17.92459263,1489.114449,1049.825874,1928.403023,24.1969559,18.82222511,29.5716867,-1.310517211,-16.73812335,14.11708892,25.50747312,8.225978683,42.78896755,57.71497273,-311.3425036,426.7724491,178.4534118,-6.322839217,363.2296628,607.8748562,-71.42817017,1287.177883,2.262542078,-1.010500454,5.535584609,1.602680813,101.2919957,1.239315657,3.557326789,3.984799882,85.0979754,42.60605968,156.6349849,0.754704377,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
"4",4,4,"Cáceres",NA,NA,NA,NA,NA,39.48,-6.37,386.87,11,4,0.999999297,6,7.03e-07,15.74643567,8.537918389,22.95495295,1792.285939,1336.696095,2247.875783,27.15506594,21.58088781,32.72924406,5.941281332,-10.05881763,21.9413803,21.2137846,3.291002626,39.13656658,207.2029157,-175.5496705,589.9555018,287.0247562,95.39176553,478.6577469,717.827643,13.31680998,1422.338476,4.399700039,1.005200337,7.794199741,1.860030052,117.5568801,1.438317816,4.128541803,4.624656058,98.76251736,49.44749495,181.7865271,0.875890452,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
"5",5,5,"Cádiz",NA,NA,NA,NA,NA,36.53,-6.3,20,8,4,0.999966802,6,3.32e-05,14.25139916,7.301225404,21.20157292,1823.936323,1384.674204,2263.198443,25.62685063,20.25244352,31.00125774,3.897432596,-11.52924444,19.32410964,21.72941803,4.448964344,39.00987172,208.718739,-160.3165116,577.7539897,286.7126597,101.9475365,471.477783,766.5206927,87.25857601,1445.782809,3.987832455,0.714987036,7.260677874,1.602237801,101.2639966,1.238973086,3.556343474,3.983698405,85.07445266,42.59428253,156.5916879,0.754495762,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
"6",6,6,"Cuenca",NA,NA,NA,NA,NA,40.07,-2.13,968.03,11,4,0.999957019,6,4.3e-05,17.7130158,10.64690186,24.77912974,1724.158518,1277.568794,2170.748243,29.78145826,24.31739732,35.24551921,6.960081936,-8.723937123,22.64410099,22.82137633,5.252656615,40.39009604,164.1236737,-211.0676841,539.3150315,263.3168462,75.4695407,451.1641517,695.0305655,4.43725386,1385.623877,3.756504475,0.429062681,7.08394627,1.721539045,108.8040264,1.331225953,3.82114574,4.28032115,91.40902297,45.76581605,168.2513698,0.810674865,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
"7",7,7,"La.Coruña",NA,NA,NA,NA,NA,43.37,-8.42,50,10,4,0.984421429,6,0.015578571,11.93427687,5.025134802,18.84341895,1641.090481,1204.42163,2077.759332,24.27014503,18.92746677,29.6128233,0.590571041,-14.74503164,15.92617372,23.67957399,6.501138785,40.8580092,122.4858184,-244.3707616,489.3423985,222.0101446,38.33581777,405.6844714,697.2457179,21.99375575,1372.49768,2.859947272,-0.393576275,6.113470818,1.558333668,98.48918509,1.205023045,3.45889341,3.874538064,82.74326307,41.4271243,152.3008003,0.733821252,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
"8",8,8,"Santander",NA,NA,NA,NA,NA,43.47,-3.82,20.17,18,6,0.827866276,4,0.172133302,8.961405927,1.965644528,15.95716733,1409.414899,967.2715677,1851.55823,22.69196658,17.28230761,28.10162555,-3.841062973,-19.3689268,11.68680086,26.53302955,9.139229764,43.92682934,16.25637628,-355.1994535,387.7122061,150.9842106,-34.99282567,336.9612468,573.6516227,-110.0659159,1257.369161,1.8580141,-1.436298595,5.152326794,1.649939125,104.2787967,1.275859406,3.662221822,4.10229983,87.6072627,43.86238622,161.2536867,0.776958374,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
"9",9,9,"Faro",NA,NA,NA,NA,NA,37.02,-7.92,50,8,4,0.999966802,6,3.32e-05,14.40139916,7.451225404,21.35157292,1823.936323,1384.674204,2263.198443,25.77685063,20.40244352,31.15125774,4.047432596,-11.37924444,19.47410964,21.72941803,4.448964344,39.00987172,208.718739,-160.3165116,577.7539897,286.7126597,101.9475365,471.477783,766.5206927,87.25857601,1445.782809,3.987832455,0.714987036,7.260677874,1.602237801,101.2639966,1.238973086,3.556343474,3.983698405,85.07445266,42.59428253,156.5916879,0.754495762,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
"10",10,10,"Porto",NA,NA,NA,NA,NA,41.13,-8.6,92.44,10,4,0.999980044,6,2e-05,13.99750968,6.911727264,21.08329209,1775.240647,1327.407843,2223.07345,25.62772763,20.14845751,31.10699775,3.726417627,-12.00125777,19.45409302,21.90131,4.283687902,39.5189321,193.3578501,-182.8778498,569.5935499,278.1970863,89.82690936,466.5672632,727.8021491,35.28657666,1420.317722,3.851223968,0.514520266,7.187927669,1.74115372,110.0437053,1.346393523,3.864682674,4.329089784,92.45050866,46.28725738,170.1683731,0.81991144,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
"11",11,11,"Bordeaux",NA,NA,NA,NA,NA,44.83,-0.7,49.77,15,6,0.99836511,4,0.001633324,8.435483218,1.388099892,15.48286654,1360.33238,914.9264607,1805.7383,22.40010426,16.95052726,27.84968126,-4.955937617,-20.59838201,10.68650677,27.35604187,9.83389273,44.87819102,-10.84457707,-385.0413903,363.3522361,125.8013309,-61.54803529,313.1506971,580.404292,-108.3584181,1269.167002,1.144048354,-2.17457317,4.462669878,1.702701151,107.6134414,1.316659049,3.779332959,4.233483854,90.40878227,45.26502487,166.4102839,0.801804078,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
"12",12,12,"Dijon",NA,NA,NA,NA,NA,47.27,5.1,230,17,6,0.989966469,4,0.010033424,10.02897382,3.025493886,17.03245375,1384.135521,941.5043656,1826.766676,23.5674159,18.15178837,28.98304343,-2.882354133,-18.4273501,12.66264184,26.44977004,9.036779393,43.86276068,19.34858288,-352.51708,391.2142458,138.7998759,-47.3823517,324.9821036,574.8051437,-109.6667512,1259.277039,1.477278297,-1.820669065,4.77522566,1.657909954,104.7825659,1.282023062,3.679913956,4.122117974,88.03049196,44.07428469,162.0327007,0.780711848,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
"13",13,13,"Limoges",NA,NA,NA,NA,NA,45.82,1.28,275,18,6,0.986147592,4,0.013852334,10.27523234,3.240271231,17.31019346,1386.724461,942.1036453,1831.345277,24.1882658,18.74829461,29.62823699,-3.056776079,-18.671648,12.55809584,27.24504188,9.753778502,44.73630525,11.03448014,-362.5027475,384.5717077,146.9334021,-40.08572895,333.9525331,559.3563726,-128.1922761,1246.905021,1.512393376,-1.800378513,4.825165264,1.69011993,106.818288,1.306930284,3.75140755,4.202202734,89.74075375,44.93056259,165.1806819,0.795879565,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
"14",14,14,"Montélimar",NA,NA,NA,NA,NA,44.58,4.73,66.9,22,6,0.904593768,4,0.095405938,8.823514781,1.857786977,15.78924258,1362.588839,922.3436789,1802.833999,22.35458641,16.96815172,27.7410211,-3.757199484,-19.21840044,11.70400147,26.11178589,8.79265965,43.43091213,11.22553668,-358.6355912,381.0866646,131.9570873,-53.22152846,317.1357031,554.8613872,-125.9208746,1235.643649,1.801950183,-1.478219655,5.08212002,1.618635799,102.3003764,1.251653275,3.59274064,4.024469307,85.9451416,43.03021095,158.1943153,0.7622176,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
"15",15,15,"Montpellier",NA,NA,NA,NA,NA,43.58,3.97,30,18,6,0.577855143,4,0.422144657,9.297539775,2.314056064,16.28102349,1430.231611,988.8642492,1871.598973,22.82649115,17.42632623,28.22665607,-3.215329824,-18.71594197,12.28528233,26.04182097,8.678547615,43.40509433,29.41947799,-341.3844401,400.2233961,158.2282942,-27.42234898,343.8789374,580.6173964,-101.9002056,1263.134998,2.054546077,-1.233985039,5.343077194,1.637198454,103.473566,1.266007343,3.6339425,4.070622268,86.9307679,43.52368512,160.0085014,0.770958777,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
"16",16,16,"Nevers",NA,NA,NA,NA,NA,47,3.1,177.88,18,6,0.986563121,4,0.013436789,9.872583087,2.814661376,16.9305048,1393.382621,947.3106581,1839.454583,23.71202691,18.25430082,29.16975299,-3.347374805,-19.0132103,12.31846069,27.05940171,9.511050621,44.6077528,16.28131233,-358.4750603,391.037685,149.3194611,-38.31006005,336.9489823,564.6497534,-125.1429059,1254.442413,1.465233845,-1.858350218,4.788817907,1.71331923,108.284521,1.324869762,3.802900955,4.259883945,90.97257325,45.54729848,167.4480217,0.806804144,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
"17",17,17,"Reims",NA,NA,NA,NA,NA,49.3,4.03,84.79,16,6,0.974614413,4,0.025385553,9.88519525,2.882170955,16.88821954,1424.326237,981.7238787,1866.928595,23.33699984,17.92172464,28.75227503,-2.967152856,-18.51113749,12.57683177,26.30415269,8.892294919,43.71601047,37.34685465,-334.4946151,409.1883244,156.4510493,-29.7190655,342.6211642,585.24302,-99.18434405,1269.670384,1.624431801,-1.673301,4.922164603,1.657440243,104.7528794,1.281659845,3.678871381,4.120950116,88.0055516,44.06179778,161.9867944,0.78049066,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
"18",18,18,"Rennes",NA,NA,NA,NA,NA,48.07,-1.72,33.53,14,6,0.998830423,4,0.001169284,8.938282463,1.851584327,16.0249806,1391.580936,943.6902569,1839.471614,22.8341958,17.35421757,28.31417402,-4.54225924,-20.27196719,11.18744871,27.37645504,9.75655614,44.99635393,6.205847664,-370.0784746,382.4901699,140.508001,-47.88651969,328.9025218,589.3894462,-103.2156228,1281.994515,1.111529538,-2.225605379,4.448664455,1.742062878,110.1011656,1.347096554,3.866700651,4.331350256,92.49878249,46.31142667,170.2572279,0.820339564,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
"19",19,19,"Rouen",NA,NA,NA,NA,NA,49.38,1.05,76.06,16,6,0.974614413,4,0.025385553,9.84154525,2.838520955,16.84456954,1424.326237,981.7238787,1866.928595,23.29334984,17.87807464,28.70862503,-3.010802856,-18.55478749,12.53318177,26.30415269,8.892294919,43.71601047,37.34685465,-334.4946151,409.1883244,156.4510493,-29.7190655,342.6211642,585.24302,-99.18434405,1269.670384,1.624431801,-1.673301,4.922164603,1.657440243,104.7528794,1.281659845,3.678871381,4.120950116,88.0055516,44.06179778,161.9867944,0.78049066,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
"20",20,20,"Toulouse",NA,NA,NA,NA,NA,43.62,1.37,147.22,17,6,0.67468063,4,0.32531936,10.88116372,3.870345027,17.89198241,1475.835573,1032.740596,1918.930549,24.22983504,18.80853262,29.65113746,-1.688169328,-17.24945448,13.87311582,25.91800437,8.486767126,43.34924161,60.91523819,-311.3400926,433.170569,181.8915417,-4.485781196,368.2688647,588.6273112,-96.5618233,1273.816446,2.019208128,-1.282195064,5.320611319,1.665461307,105.2598236,1.287862347,3.696675019,4.140893162,88.43144823,44.27503173,162.770718,0.784267789,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
"21",21,21,"Bruxelles",NA,NA,NA,NA,NA,50.8,4.35,85.27,15,6,0.996316676,4,0.003678867,8.529217665,1.437761069,15.62067426,1374.081413,925.8899924,1822.272834,22.99138137,17.50772354,28.4750392,-5.309033717,-21.04930359,10.43123616,28.30041509,10.66868507,45.9321451,-24.23634524,-400.7733287,352.3006382,136.9579369,-51.56308386,325.4789577,573.5812672,-119.4888609,1266.651395,1.191744595,-2.147631086,4.531120277,1.746781491,110.3993895,1.350745347,3.877174133,4.343082304,92.74932796,46.43686743,170.7183927,0.822561565,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
"22",22,22,"Ramstein",NA,NA,NA,NA,NA,49.43,7.6,282.06,17,6,0.990286047,4,0.00971382,10.37710402,3.349573285,17.40463475,1391.185336,947.0341323,1835.33654,23.83762767,18.40340222,29.27185312,-2.415582196,-18.01396156,13.18279717,26.25320986,8.780420899,43.72599883,24.90405225,-348.2386424,398.0467469,141.3262914,-45.49530855,328.1478914,580.4098999,-106.4125545,1267.232354,1.427344676,-1.881928237,4.736617589,1.682560169,106.340499,1.301084498,3.734627826,4.183406643,89.33935108,44.72959205,164.4418429,0.792319664,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
"23",23,23,"Coburg",NA,NA,NA,NA,NA,50.27,10.93,331.43,18,6,0.990562346,4,0.009437427,10.4319435,3.466847825,17.39703917,1389.631081,949.4258728,1829.836289,24.24752855,18.86158267,29.63347443,-2.709367932,-18.1691658,12.75042993,26.95689648,9.639341936,44.27445103,9.24520059,-360.5823628,379.072764,140.2245495,-44.93726152,325.3863605,641.0566634,-39.66381813,1321.777145,1.33248853,-1.947383635,4.612360696,1.617971896,102.2584167,1.251139895,3.591267034,4.022818622,85.90989016,43.01256158,158.12943,0.761904967,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
"24",24,24,"Hamburg",NA,NA,NA,NA,NA,53.63,10,15,15,6,0.995374863,4,0.004624581,8.459083684,1.52969441,15.38847296,1385.827776,947.8792699,1823.776283,22.92878564,17.57045068,28.28712059,-5.5487874,-20.92933098,9.831756181,28.47757304,11.24879652,45.70634955,-22.65907513,-390.5907263,345.2725761,137.7490448,-46.46353856,321.9616282,651.9836793,-25.24710492,1329.214464,1.297038682,-1.966019297,4.560096661,1.580118258,99.86600608,1.22186856,3.50724671,3.928701832,83.89996532,42.00625118,154.4298761,0.744079642,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
"25",25,25,"Kassel",NA,NA,NA,NA,NA,51.33,9.52,200,16,6,0.998103873,4,0.001894558,8.832742887,1.901833363,15.76365241,1345.531294,907.4867056,1783.575883,23.3308786,17.97136807,28.69038912,-5.165574098,-20.54949204,10.21834385,28.49645269,11.26389633,45.72900906,-38.03186829,-406.0442406,329.980504,120.1635484,-64.08944971,304.4165465,636.7221446,-40.65721838,1314.101508,1.161150154,-2.102623712,4.424924021,1.581744385,99.96877991,1.223126006,3.510856078,3.932744927,83.98630822,42.04948054,154.5888026,0.744845387,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
"26",26,26,"Munster",NA,NA,NA,NA,NA,51.97,7.62,60.5,16,6,0.997266201,4,0.002733097,8.463000762,1.408096443,15.51790508,1357.242206,911.3609473,1803.123464,22.90518924,17.44979644,28.36058205,-5.497736646,-21.15687471,10.16140142,28.40292589,10.86207704,45.94377473,-24.21355636,-398.8097137,350.382601,133.0796404,-54.46966567,320.6289465,556.7194243,-132.778336,1246.217185,1.257434161,-2.064729008,4.57959733,1.710284136,108.0926982,1.322522794,3.796164229,4.252337687,90.81141805,45.4666128,167.1513926,0.805374915,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
"27",27,27,"Neustreliz",NA,NA,NA,NA,NA,53.35,13.08,72.9,16,6,0.99276647,4,0.007232884,8.70842473,1.763409208,15.65344025,1382.537547,943.6014362,1821.473657,23.21914994,17.84873158,28.58956831,-5.271107066,-20.68633483,10.14412069,28.49025701,11.22262842,45.7578856,-23.35382736,-392.1151896,345.4075349,138.9811988,-45.64679659,323.6091942,640.1469234,-38.61106268,1318.904909,1.338501139,-1.931915259,4.608917538,1.59677066,100.9184646,1.234745473,3.544208552,3.970105266,84.78416239,42.44894271,156.0573672,0.751921279,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
"28",28,28,"Parma",NA,NA,NA,NA,NA,44.8,10.32,110,19,4,0.543797156,6,0.456202842,11.78922872,4.878337996,18.70011944,1560.868162,1124.088793,1997.64753,23.9973275,18.65329705,29.34135795,0.228629752,-15.11085425,15.56811375,23.76869775,6.585914815,40.95148068,112.3030042,-254.6464243,479.2524327,192.7814567,9.060643377,376.50227,628.0738203,-47.34904266,1303.496683,2.366976274,-0.887370714,5.621323261,1.560224564,98.60869275,1.206485231,3.463090463,3.879239464,82.84366449,41.47739235,152.4856035,0.734711677,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
"29",29,29,"Potenza",NA,NA,NA,NA,NA,40.63,15.77,950,14,4,0.999882306,6,0.000117694,19.06959025,12.06122355,26.07795695,1793.148703,1350.208697,2236.08871,29.53478079,24.11537443,34.95418714,9.577684991,-5.978157693,25.13352767,19.95709579,2.531955019,37.38223657,239.2443871,-132.8807498,611.3695239,273.1831227,86.87098414,459.4952614,631.0983808,-53.851113,1316.047875,3.936608768,0.636360222,7.236857314,1.66294122,105.10055,1.285913623,3.691081406,4.134627382,88.29763846,44.2080371,162.524422,0.783081077,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
"30",30,30,"Turin",NA,NA,NA,NA,NA,45.07,7.67,250.27,21,6,0.980795955,4,0.019203919,9.956658663,2.98021357,16.93310376,1356.926669,916.0041593,1797.849179,22.93014666,17.53542454,28.32486878,-2.147925661,-17.63291482,13.3370635,25.07807232,7.732299322,42.42384532,31.02029318,-339.4098935,401.4504799,123.8387905,-61.6247363,309.3023173,570.9737623,-110.8559336,1252.803458,1.561561417,-1.723655206,4.846778039,1.629859679,103.0097436,1.260332439,3.617653278,4.052375621,86.54109896,43.32858931,159.29126,0.767502939,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
"31",31,31,"Venezia",NA,NA,NA,NA,NA,45.45,12.32,1,18,6,0.770860932,4,0.229139013,9.610849081,2.695664312,16.52603385,1449.896472,1012.845713,1886.947231,22.9252086,17.57785766,28.27255954,-2.802289609,-18.15130472,12.54672551,25.72749821,8.534038838,42.92095758,45.41474175,-321.762689,412.5921725,162.5164586,-21.3185087,346.351426,659.2321596,-16.61037413,1335.074693,1.863229805,-1.393139255,5.119598865,1.564860249,98.90167545,1.210069897,3.473379876,3.890765324,83.08980669,41.60062852,152.9386634,0.736894627,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
"32",32,32,"Catania",NA,NA,NA,NA,NA,37.5,15.1,50,9,4,0.999968388,6,3.16e-05,18.15079619,11.00043823,25.30115415,2044.522958,1592.608877,2496.43704,26.70824615,21.17904127,32.23745103,10.0149558,-5.856052145,25.88596375,16.69329035,-1.084888136,34.47146883,374.8574384,-4.807046772,754.5219235,346.7211818,156.6343127,536.8080509,713.5232081,14.6964663,1412.34995,4.469325086,1.102212679,7.836437493,1.80442163,114.0423386,1.395317121,4.005112777,4.486394944,95.80986195,47.96918701,176.3517429,0.849704377,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
"33",33,33,"Perugia",NA,NA,NA,NA,NA,43.12,12.35,356.9,15,4,0.97634101,6,0.02365899,14.39565657,7.418430925,21.37288222,1670.429259,1229.457417,2111.401101,25.76632892,20.37100322,31.16165463,3.749089449,-11.73763224,19.23581113,22.01723947,4.669525758,39.36495319,169.8113493,-200.6602826,540.2829813,228.6821106,43.19783333,414.1663878,596.2277169,-85.67826486,1278.133699,3.073387328,-0.212196858,6.358971514,1.630674782,103.0612594,1.260962739,3.619462488,4.054402238,86.58437868,43.3502582,159.3709225,0.767886771,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
"34",34,34,"Geilo",NA,NA,NA,NA,NA,60.53,8.22,1000,11,8,0.999907845,6,9.22e-05,3.203543856,-4.024387353,10.43147506,875.1607859,418.3439506,1331.977621,24.28224963,18.69305917,29.8714401,-17.22869394,-33.27188427,-1.185503616,41.51094357,23.53989208,59.48199507,-476.2018874,-859.9853002,-92.41847458,-48.52488955,-240.6739849,143.6242058,386.797534,-319.6106828,1093.205751,0.597691095,-2.80595065,4.001332841,1.878323825,118.7130758,1.452463963,4.169146848,4.670140487,99.73386672,49.93382108,183.5744344,0.884505012,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
"35",35,35,"Tromse",NA,NA,NA,NA,NA,69.65,18.95,26.06,9,8,0.999946516,6,5.35e-05,-1.761758664,-8.832319793,5.308802464,873.0601985,426.1894044,1319.930992,18.72070173,13.25320188,24.18820158,-21.54452244,-37.23841252,-5.850632358,40.26522417,22.68544726,57.84500107,-467.6317013,-843.0591925,-92.20421006,-64.70559995,-252.6711305,123.2599306,428.2046513,-262.8232977,1119.2326,0.695334318,-2.634201662,4.024870298,1.725988785,109.0852572,1.334666833,3.83102243,4.291384692,91.64529205,45.88410905,168.6862568,0.812770254,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
"36",36,36,"Trondhein",NA,NA,NA,NA,NA,63.43,10.42,46.84,10,8,0.960030963,6,0.039964976,1.213127405,-5.923748767,8.350003577,1014.796486,563.7344746,1465.858497,20.56177853,15.04299881,26.08055826,-17.49044217,-33.3315258,-1.64935854,38.05222071,20.30756245,55.79687896,-352.1585377,-731.1071767,26.79010127,5.244780839,-184.4836851,194.9732468,457.4138743,-240.0952503,1154.922999,0.688523437,-2.672240379,4.049287254,1.791350494,113.2162219,1.385209516,3.976099949,4.453895732,95.1158203,47.62170072,175.07426,0.843549163,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
"37",37,37,"Varde",NA,NA,NA,NA,NA,70.37,31.1,120,7,8,0.999999936,6,6.4e-08,-3.831213635,-10.96946576,3.307038495,758.7172076,307.5682339,1209.866181,17.99241234,12.47256862,23.51225607,-25.10536784,-40.94950556,-9.261230123,43.09778019,25.34970084,60.84585953,-578.0988729,-957.1205715,-199.0771744,-122.0469076,-311.8119523,67.71813718,431.9902212,-265.6533801,1129.633822,0.212608759,-3.148802997,3.574020515,1.792687773,113.3007401,1.386243603,3.979068188,4.457220656,95.18682619,47.65725129,175.2049565,0.844178889,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
"38",38,38,"Cambridge",NA,NA,NA,NA,NA,52.2,0.13,50,12,6,0.948421538,4,0.051578431,10.09268155,3.159915483,17.02544761,1477.05338,1038.891455,1915.215305,23.7188663,18.35792016,29.07981245,-3.109642688,-18.49768143,12.27839605,26.82850899,9.591336649,44.06568133,38.03365483,-330.0772947,406.1446043,171.7741359,-12.52821686,356.0764887,613.5577304,-64.00307796,1291.118539,1.849163463,-1.415484651,5.113811576,1.58372844,100.0941754,1.224660229,3.515259908,3.937677951,84.09165614,42.10222515,154.7827105,0.745779681,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
